Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Pounds,Steps,Note
2023-02-14,MFP iOS calorie adjustment,Cardio,224.0,1,,,,9618,
2023-02-15,MFP iOS calorie adjustment,Cardio,284.0,1,,,,10664,
2023-02-16,MFP iOS calorie adjustment,Cardio,89.0,1,,,,4353,
2023-02-17,MFP iOS calorie adjustment,Cardio,21.0,1,,,,1887,
2023-02-18,MFP iOS calorie adjustment,Cardio,291.0,1,,,,14355,
2023-02-19,MFP iOS calorie adjustment,Cardio,193.0,1,,,,12074,
2023-02-20,MFP iOS calorie adjustment,Cardio,38.0,1,,,,2882,
2023-02-21,MFP iOS calorie adjustment,Cardio,66.0,1,,,,3410,
2023-02-22,MFP iOS calorie adjustment,Cardio,202.0,1,,,,8236,
2023-02-23,MFP iOS calorie adjustment,Cardio,34.0,1,,,,7570,
2023-02-23,"Strength training (weight lifting, weight training)",Cardio,557.4,42,,,,,
2023-02-24,MFP iOS calorie adjustment,Cardio,60.0,1,,,,4347,
2023-02-25,MFP iOS calorie adjustment,Cardio,260.0,1,,,,12412,
2023-02-26,MFP iOS calorie adjustment,Cardio,328.0,1,,,,16772,
2023-02-27,MFP iOS calorie adjustment,Cardio,145.0,1,,,,5933,
2023-02-28,MFP iOS calorie adjustment,Cardio,19.0,1,,,,2372,
2023-03-01,MFP iOS calorie adjustment,Cardio,138.0,1,,,,8149,
2023-03-01,"Walking, 2.5 mph, leisurely pace",Cardio,131.8,18,,,,,
2023-03-02,MFP iOS calorie adjustment,Cardio,0.0,1,,,,4521,
2023-03-02,"Strength training (weight lifting, weight training)",Cardio,636.5,49,,,,,
2023-03-03,MFP iOS calorie adjustment,Cardio,38.0,1,,,,3119,
2023-03-04,MFP iOS calorie adjustment,Cardio,325.0,1,,,,15960,
2023-03-05,MFP iOS calorie adjustment,Cardio,43.0,1,,,,3711,
2023-03-06,MFP iOS calorie adjustment,Cardio,177.0,1,,,,6259,
