Date,Meal,Time,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2/14/23,Breakfast,11:20 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2/14/23,Breakfast,11:25 AM,710,24.5,6.3,0,4.5,0,140,970,400,91.5,2.5,26.5,33,15,1,31,2,
2/14/23,Breakfast,11:30 AM,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
2/14/23,Lunch,4:35 PM,493.5,17.6,4.7,1.6,1,0,101.1,883.4,480.8,76.3,6.4,2.8,13.4,0,224.5,7.3,6.2,
2/14/23,Dinner,8:20 PM,835,40,14.5,3.5,11,1,175,2050,1321,69,7,3,45,133,56,59,45,
2/14/23,Dinner,8:35 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2/14/23,Dinner,11:05 PM,50,1,0.3,0,0.5,0,25,55,0,0.5,0,0.5,11,0,1,1,2,
2/14/23,Snacks,1:40 PM,160,6,2.5,0,0,0,30,120,0,26,1,14,3,0,0,0,0,
2/14/23,Snacks,5:35 PM,160,6,2.5,0,0,0,30,120,0,26,1,14,3,0,0,0,0,
2/16/23,Breakfast,10:45 AM,250,10.5,2.5,2.5,3,0,0,130,380,29,2,26,8,0,0,45,7.2,
2/16/23,Lunch,1:55 PM,72.3,6.3,0.8,2,3.1,0,0,2.3,89.9,2.1,1.1,0.6,3.3,0,0,1.2,3.2,
2/16/23,Lunch,2:15 PM,274.3,2.1,0.4,0.5,0.7,0,37.8,141,138.6,45,1,0,15.7,0,0,0.3,1,
2/16/23,Dinner,9:20 PM,140,1,0,0,0,0,0,220,0,26,1,4,6,0,0,10,11.1,
2/16/23,Dinner,11:40 PM,120,7,2.5,0,0,0,50,630,0,1,0,0,14,0,0,0,6,
2/16/23,Dinner,11:45 PM,111,0.9,0.2,0.2,0.3,0,15.1,70,78.1,20.8,0.3,20.4,4.9,0,8.1,0.6,0.7,
2/16/23,Snacks,10:40 AM,402,20.3,4.5,0,0,0,6.3,964,80,48.5,3.3,2.3,5.3,0,0,12.5,3.3,
2/16/23,Snacks,5:20 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2/16/23,Snacks,5:25 PM,140,1,0,0,0,0,0,220,0,26,1,4,6,0,0,10,11.1,
2/16/23,Snacks,5:30 PM,52.5,0.4,0,0,0,0,26.3,225,157.5,0,0,0,12.8,0,0,0,2.9,
2/16/23,Snacks,5:35 PM,62.6,5.2,0.8,3,1.3,0,2.5,45.8,29.2,4.1,0.3,0.8,0.4,0,2.5,0.5,0.2,
2/16/23,Snacks,9:20 PM,226.1,0.6,0,0,0,0,26.3,249.4,172.1,43.1,0.2,40.4,13.1,0,1.2,0.2,3,
2/17/23,Breakfast,11:15 AM,349.2,12.6,2.9,3.2,1.6,0,74.4,958.3,178.2,28.7,1.1,4.2,30.8,0,0.6,10.2,18.2,
2/17/23,Breakfast,11:20 AM,209.4,8.4,2.3,1.4,2.5,0,0,90.5,358.5,27.7,2,25,4.7,0,22.1,23.6,4.8,
2/17/23,Lunch,2:45 PM,56.7,4.9,0.6,1.6,2.4,0,0,1.8,70.5,1.6,0.9,0.5,2.6,0,0,0.9,2.5,
2/17/23,Lunch,3:55 PM,45.1,0.3,0,0.1,0.1,0,0,1.7,141.1,11.3,1.5,9,0.7,0,37.8,3.1,0.7,
2/17/23,Lunch,4:15 PM,272.1,7.3,2.1,0.3,0.3,0,52.6,753.6,223.9,30,2,6,21.9,0,22.1,11.2,17.2,
2/17/23,Dinner,9:00 PM,113.5,3.3,1,0,0,0,20,255,51.9,13.7,1.4,1.2,7.4,0,10.9,0.6,2.9,
2/17/23,Dinner,10:40 PM,40,0,0,0,0,0,0,6,0,10,0,10,0,0,0,0,0,
2/17/23,Dinner,11:15 PM,271.5,1.5,0,0,0,0,35,520.6,210,39.5,1.3,4,24.2,0,0,10,15,
2/17/23,Snacks,5:05 PM,60,3.5,1.5,0,0,0,5,50,0,7,0,3,1,0,0,0,2,
2/17/23,Snacks,5:30 PM,40,0,0,0,0,0,0,6,0,10,0,10,0,0,0,0,0,
2/17/23,Snacks,5:45 PM,10,0,0,0,0,0,0,0,0,2,0,0,0,0,67,4,0,
2/18/23,Breakfast,5:50 AM,135,15,2.3,9,3.8,0,7.5,135,0,0,0,0,0,0,0,0,0,
2/18/23,Breakfast,6:10 AM,292.5,3.2,0.1,0,0,0,50,1240.6,211.2,41.5,2.5,11.2,24.6,2.5,48.6,10.3,16,
2/18/23,Breakfast,8:35 AM,195,8.3,2.3,1.3,2.5,0,0,85,190,24.5,1,23,4,0,0,22.5,3.6,
2/18/23,Breakfast,11:25 AM,284,6.6,0.9,3,1.3,0,21.8,430.8,334,41.4,2.6,11.4,16.2,2.5,9.2,10.4,14.2,
2/18/23,Lunch,2:30 PM,142,7.6,2.5,0,0,0,17.5,296,209,12.2,0,10.2,6.1,0,0,0,0,
2/18/23,Lunch,4:30 PM,810,17,5,0,0,0,70,1415,0,129,6,34,36,0,0,45,25,
2/23/23,Breakfast,8:10 AM,490,16.5,3.1,4.3,3.8,0,57.5,1472,190,52.7,2,27,29.8,0,44,32.5,19.1,
2/23/23,Breakfast,11:10 AM,150,0.3,0.1,0.1,0.1,0,0,869,70,33,0.6,0.6,3,0,2,2,9,
2/23/23,Breakfast,8:10 PM,300,58.5,21.5,0,0,0,165,3265,0,202,38.5,13.5,71.5,129,70,69,67,
2/27/23,Breakfast,3:15 PM,195,8.3,0.3,1.3,4.5,0,0,65,190,24.5,1,23,4,0,0,22.5,3.6,
2/27/23,Lunch,3:15 PM,460,16,1,0,0,0,0,440,180,70,4,20,8,0,0,4,20,
